Drishti-2020 : Encardio-rite Electronics Pvt. Ltd.
SiteName : Tallah_ROB_P16_A3_DL5
Dates Between: From 2023-06-01 08:32:06 To 2023-06-02 08:32:06
"DateTime" ,DLID,Battery Voltage,A3_RBLG_SG_1_Strain,A3_RBLG_SG_1_Temperature,A3_RBLG_SG_1_Frequency,A3_LBLG_SG_2_Strain,A3_LBLG_SG_2_Temperature,A3_LBLG_SG_2_Frequency,SP21A3_RBLG_SG_1_Strain,SP21A3_RBLG_SG_1_Temperature,SP21A3_RBLG_SG_1_Frequency,SP21A3_LBLG_SG_2_Strain,SP21A3_LBLG_SG_2_Temperature,SP21A3_LBLG_SG_2_Frequency,SP20P21_RBLG_SG_1_Strain,SP20P21_RBLG_SG_1_Temperature,SP20P21_RBLG_SG_1_Frequency,SP20P21_LBLG_SG_2_Strain,SP20P21_LBLG_SG_2_Temperature,SP20P21_LBLG_SG_2_Frequency,SP19P20_RBLG_SG_1_Strain,SP19P20_RBLG_SG_1_Temperature,SP19P20_RBLG_SG_1_Frequency,SP19P20_LBLG_SG_2_Strain,SP19P20_LBLG_SG_2_Temperature,SP19P20_LBLG_SG_2_Frequency,SP18P19_RBLG_SG_1_Strain,SP18P19_RBLG_SG_1_Temperature,SP18P19_RBLG_SG_1_Frequency,SP18P19_LBLG_SG_2_Strain,SP18P19_LBLG_SG_2_Temperature,SP18P19_LBLG_SG_2_Frequency,P18_D1_Displacement,P18_D1_Temperature,P18_D1_Frequency,P18_D2_Displacement,P18_D2_Temperature,P18_D2_Frequency,P18_D3_Displacement,P18_D3_Temperature,P18_D3_Frequency,P18_D4_Displacement,P18_D4_Temperature,P18_D4_Frequency,SP17P18_RBLG_SG_1_Strain,SP17P18_RBLG_SG_1_Temperature,SP17P18_RBLG_SG_1_Frequency,SP17P18_LBLG_SG_2_Strain,SP17P18_LBLG_SG_2_Temperature,SP17P18_LBLG_SG_2_Frequency,P17_D1_Displacement,P17_D1_Temperature,P17_D1_Frequency,P17_D2_Displacement,P17_D2_Temperature,P17_D2_Frequency,P17_D3_Displacement,P17_D3_Temperature,P17_D3_Frequency,P17_D4_Displacement,P17_D4_Temperature,P17_D4_Frequency,SP16P17_RBLG_SG_1_Strain,SP16P17_RBLG_SG_1_Temperature,SP16P17_RBLG_SG_1_Frequency,SP16P17_LBLG_SG_2_Strain,SP16P17_LBLG_SG_2_Temperature,SP16P17_LBLG_SG_2_Frequency,P18_P19_Alert_Positive,P18_P19_Alert_Negative,P17_P18_Alert_Positive,P17_P18_Alert_Negative,P18_P19_Action_Positive,P18_P19_Action_Negative,P18_P19_Alarm_Positive,P18_P19_Alarm_Negative,P17_P18_Action_Positive,P17_P18_Action_Negative,P17_P18_Alarm_Positive,P17_P18_Alarm_Negative,P16_P17_Alert_Positive,P16_P17_Alert_Negative,P16_P17_Action_Positive,P16_P17_Action_Negative,P16_P17_Alarm_Negative,P16_P17_Alarm_Positive,P19_A3_Alert_Positive,P19_A3_Alert_Negative,P19_A3_Action_Positive,P19_A3_Action_Negative,P19_A3_Alarm_Positive,P19_A3_Alarm_Negative,TGS_Alert_Positive,TGS_Action_Positive,TGS_Alarm_Positive,TGS_Alert_Negative,TGS_Action_Negative,TGS_Alarm_Negative,LGS_Alert_Positive,LGS_Action_Positive,LGS_Alarm_Positive,LGS_Alert_Negative,LGS_Action_Negative,LGS_Alarm_Negative,FF_Alert_Positive,FF_Action_Positive,FF_Alarm_Positive,FF_Alert_Negative,FF_Action_Negative,FF_Alarm_Negative,FX_Alarm,P17_D3_D2_Alert_Positive,P17_D3_D2_Alert_Negative,P17_D3_D2_Action_Positive,P17_D3_D2_Action_Negative,P17_D3_D2_Alarm_Positive,P17_D3_D2_Alarm_Negative
"2023-06-01 08:45:00",null,14.38,36.91,34.38,878.27,22.78,34.04,922.37,19.28,32.55,830.03,57.12,32.66,12732.30,8.47,32.16,889.78,-22.58,32.38,831.78,23.16,33.65,877.90,18.96,33.35,874.41,14.79,33.34,877.17,7.28,33.21,868.12,0.52,33.72,2391.72,2.60,33.91,2443.75,0.18,32.64,2542.17,-0.40,33.08,2372.20,9.29,35.04,901.05,-14.59,33.14,1025.91,-0.03,33.53,2329.12,0.2,32.96,2390.07,-0.1,-143.28,null,-0.14,32.15,2317.98,28.07,32.79,855.39,4.65,32.98,871.31,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 09:00:00",null,14.38,37.15,34.40,878.32,23.30,34.14,922.44,20.06,32.84,830.14,20.86,32.87,12732.30,9.80,32.43,890.13,-22.45,32.69,831.95,24.22,33.89,878.15,20.93,33.62,874.68,16.10,33.76,877.41,9.25,33.45,868.08,0.58,34.08,2393.19,2.66,34.17,2445.26,0.24,32.85,2543.84,-0.48,33.34,2370.18,11.71,35.28,901.34,-15.50,33.31,985.95,-0.03,33.77,2329.08,0.2,33.14,2389.96,-0.1,-143.33,null,-0.14,32.41,2318.06,26.12,33.04,855.12,3.98,33.20,871.25,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 09:15:00",null,14.38,37.64,34.52,878.39,24.17,34.50,922.55,20.42,33.00,830.19,57.07,33.03,12732.30,11.21,32.73,890.17,-22.12,32.93,831.99,24.19,34.23,878.14,20.90,33.99,874.67,16.25,34.03,877.47,10.36,33.77,868.44,0.60,34.41,2393.79,2.67,34.43,2445.57,0.25,33.01,2544.02,-0.50,33.59,2369.48,10.52,35.67,901.22,-16.70,33.69,985.94,-0.03,33.84,2329.04,0.2,33.36,2389.85,-0.1,-143.64,null,-0.14,32.62,2318.01,24.37,33.31,854.87,2.94,33.48,871.22,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 09:30:00",null,14.37,38.56,34.85,878.53,24.78,34.74,922.64,20.96,33.14,830.26,24.22,33.18,12732.30,13.35,32.87,890.47,-20.74,33.03,832.36,24.36,34.58,878.19,22.20,34.22,874.80,16.15,34.52,877.44,11.28,34.22,868.25,0.66,34.55,2395.59,2.75,34.59,2447.51,0.33,33.32,2545.93,-0.60,34.10,2367.09,9.33,36.07,901.03,-17.49,34.13,1034.65,-0.03,34.18,2329.06,0.2,33.54,2389.71,-0.1,-143.66,null,-0.14,32.90,2317.99,23.24,33.58,854.76,2.51,33.81,871.14,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 09:45:00",null,14.38,39.13,34.99,878.61,25.70,34.85,922.72,20.89,33.38,830.30,28.26,33.39,12732.30,12.63,33.11,890.40,-22.64,33.37,832.19,23.78,34.61,878.06,21.82,34.39,874.78,15.55,34.59,877.29,11.44,34.36,868.25,0.66,34.78,2395.52,2.75,34.81,2447.53,0.34,33.42,2545.99,-0.61,34.10,2366.72,8.67,36.26,900.96,-18.45,34.27,1009.80,-0.03,34.54,2329.18,0.2,33.82,2389.59,-0.1,-144.24,null,-0.14,33.07,2318.02,23.35,33.84,854.64,1.62,33.88,870.94,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 10:00:00",null,14.38,39.40,35.10,878.65,26.89,35.08,922.82,20.80,33.53,830.27,29.27,33.50,12732.30,11.44,33.26,890.21,-22.00,33.53,832.11,21.80,34.97,877.78,20.69,34.65,874.65,13.81,34.79,876.98,10.94,34.45,868.27,0.66,34.89,2395.35,2.75,34.97,2447.58,0.34,33.53,2546.02,-0.63,34.19,2366.18,7.85,36.46,900.96,-19.35,34.38,986.09,-0.03,34.57,2329.20,0.2,33.94,2389.52,-0.1,-144.06,null,-0.15,33.22,2317.94,21.80,34.02,854.59,1.78,34.09,871.10,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 10:15:00",null,14.38,39.45,35.04,878.66,27.27,35.02,922.86,21.44,33.64,830.35,22.64,33.61,12732.30,9.51,33.54,889.95,-22.56,33.80,831.95,20.15,35.22,877.50,20.52,34.83,874.62,11.51,35.01,876.67,9.92,34.73,868.26,0.66,35.05,2395.27,2.75,35.12,2447.71,0.35,33.78,2546.45,-0.68,34.55,2365.08,7.22,36.78,900.75,-20.33,34.60,986.06,-0.02,34.65,2329.27,0.2,34.05,2389.45,-0.1,-143.95,null,-0.15,33.37,2317.88,22.43,34.20,854.53,-0.21,34.32,870.75,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 10:30:00",null,14.38,39.91,35.12,878.72,29.07,35.40,922.97,20.49,33.84,830.22,25.19,33.82,12732.30,8.17,33.75,889.75,-22.65,34.06,831.86,18.30,35.35,877.29,18.88,35.16,874.42,9.12,35.28,879.83,9.01,35.05,868.09,0.66,35.30,2395.22,2.75,35.35,2447.63,0.35,34.02,2546.40,-0.70,34.83,2364.44,5.43,37.15,900.57,-21.06,35.01,1022.07,-0.02,34.91,2329.28,0.2,34.29,2389.28,-0.1,-144.40,null,-0.15,33.61,2317.84,20.84,34.52,854.29,-1.64,34.68,870.45,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 10:45:00",null,14.38,41.41,35.57,878.90,30.67,35.69,923.40,21.53,34.01,830.51,57.06,34.00,12732.30,8.81,33.93,889.83,-22.49,34.30,832.09,17.70,35.76,877.21,20.87,35.45,874.68,8.73,35.66,879.78,10.24,35.38,868.31,0.72,35.56,2396.82,2.82,35.44,2449.47,0.42,34.30,2548.15,-0.80,35.19,2361.92,5.79,37.40,900.62,-22.02,35.23,986.18,-0.02,35.19,2329.32,0.1,34.46,2389.13,-0.1,-144.78,null,-0.15,33.96,2317.78,20.01,34.81,853.72,-2.47,34.99,870.35,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
"2023-06-01 11:00:00",null,14.38,41.60,35.58,878.97,31.40,35.89,923.26,21.23,34.17,830.33,26.05,34.14,12732.30,7.44,34.13,889.65,-20.62,34.44,831.93,16.27,35.96,877.04,20.36,35.67,874.59,7.64,35.84,879.65,9.86,35.62,868.28,0.72,35.50,2396.76,2.82,35.56,2449.38,0.42,34.59,2548.05,-0.82,35.64,2361.51,5.31,37.66,900.60,-22.83,35.55,986.19,-0.02,35.25,2329.32,0.1,34.77,2389.01,-0.2,-144.56,null,-0.15,34.27,2317.74,15.02,35.06,853.64,-3.52,35.25,870.26,204.1,-204.1,188.0,-188.0,306.0,-306.0,408.2,-408.2,282.0,-282.0,376.0,-376.0,164.0,-164.0,282.0,-246.0,-327.9,327.9,204.1,-204.1,306.0,-306.0,408.2,-408.2,5.000,7.500,10.000,-5.000,-7.500,-10.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,15.000,22.500,30.000,-15.000,-22.500,-30.000,0.00,0.50,-0.50,0.75,-0.75,1.00,-1.00
