Drishti-2020 : Encardio-rite Electronics Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiteName : Tallah_ROB_P16_A3_DL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates Between: From 2023-06-01 00:00:00 To 2023-06-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DateTime ,DLID,Battery Voltage,A3_RBLG_SG_1_Strain,A3_RBLG_SG_1_Temperature,A3_RBLG_SG_1_Frequency,A3_LBLG_SG_2_Strain,A3_LBLG_SG_2_Temperature,A3_LBLG_SG_2_Frequency,SP21A3_RBLG_SG_1_Strain,SP21A3_RBLG_SG_1_Temperature,SP21A3_RBLG_SG_1_Frequency,SP21A3_LBLG_SG_2_Strain,SP21A3_LBLG_SG_2_Temperature,SP21A3_LBLG_SG_2_Frequency,SP20P21_RBLG_SG_1_Strain,SP20P21_RBLG_SG_1_Temperature,SP20P21_RBLG_SG_1_Frequency,SP20P21_LBLG_SG_2_Strain,SP20P21_LBLG_SG_2_Temperature,SP20P21_LBLG_SG_2_Frequency,SP19P20_RBLG_SG_1_Strain,SP19P20_RBLG_SG_1_Temperature,SP19P20_RBLG_SG_1_Frequency,SP19P20_LBLG_SG_2_Strain,SP19P20_LBLG_SG_2_Temperature,SP19P20_LBLG_SG_2_Frequency,SP18P19_RBLG_SG_1_Strain,SP18P19_RBLG_SG_1_Temperature,SP18P19_RBLG_SG_1_Frequency,SP18P19_LBLG_SG_2_Strain,SP18P19_LBLG_SG_2_Temperature,SP18P19_LBLG_SG_2_Frequency,P18_D1_Displacement,P18_D1_Temperature,P18_D1_Frequency,P18_D2_Displacement,P18_D2_Temperature,P18_D2_Frequency,P18_D3_Displacement,P18_D3_Temperature,P18_D3_Frequency,P18_D4_Displacement,P18_D4_Temperature,P18_D4_Frequency,SP17P18_RBLG_SG_1_Strain,SP17P18_RBLG_SG_1_Temperature,SP17P18_RBLG_SG_1_Frequency,SP17P18_LBLG_SG_2_Strain,SP17P18_LBLG_SG_2_Temperature,SP17P18_LBLG_SG_2_Frequency,P17_D1_Displacement,P17_D1_Temperature,P17_D1_Frequency,P17_D2_Displacement,P17_D2_Temperature,P17_D2_Frequency,P17_D3_Displacement,P17_D3_Temperature,P17_D3_Frequency,P17_D4_Displacement,P17_D4_Temperature,P17_D4_Frequency,SP16P17_RBLG_SG_1_Strain,SP16P17_RBLG_SG_1_Temperature,SP16P17_RBLG_SG_1_Frequency,SP16P17_LBLG_SG_2_Strain,SP16P17_LBLG_SG_2_Temperature,SP16P17_LBLG_SG_2_Frequency,P18_P19_Alert_Positive,P18_P19_Alert_Negative,P17_P18_Alert_Positive,P17_P18_Alert_Negative,P18_P19_Action_Positive,P18_P19_Action_Negative,P18_P19_Alarm_Positive,P18_P19_Alarm_Negative,P17_P18_Action_Positive,P17_P18_Action_Negative,P17_P18_Alarm_Positive,P17_P18_Alarm_Negative,P16_P17_Alert_Positive,P16_P17_Alert_Negative,P16_P17_Action_Positive,P16_P17_Action_Negative,P16_P17_Alarm_Negative,P16_P17_Alarm_Positive,P19_A3_Alert_Positive,P19_A3_Alert_Negative,P19_A3_Action_Positive,P19_A3_Action_Negative,P19_A3_Alarm_Positive,P19_A3_Alarm_Negative,TGS_Alert_Positive,TGS_Action_Positive,TGS_Alarm_Positive,TGS_Alert_Negative,TGS_Action_Negative,TGS_Alarm_Negative,LGS_Alert_Positive,LGS_Action_Positive,LGS_Alarm_Positive,LGS_Alert_Negative,LGS_Action_Negative,LGS_Alarm_Negative,FF_Alert_Positive,FF_Action_Positive,FF_Alarm_Positive,FF_Alert_Negative,FF_Action_Negative,FF_Alarm_Negative,FX_Alarm,P17_D3_D2_Alert_Positive,P17_D3_D2_Alert_Negative,P17_D3_D2_Action_Positive,P17_D3_D2_Action_Negative,P17_D3_D2_Alarm_Positive,P17_D3_D2_Alarm_Negative
6/1/2023 0:00,null,14.38,37.43,34.01,878.36,22.33,33.17,922.31,10.97,32.93,828.74,20.72,-24.74,12732.3,2.8,31.94,888.93,-2.66,32.22,831.09,-0.57,32.27,874.55,0.7,32.62,871.93,-9.3,32.29,873.71,-8.45,32.52,865.53,-0.2,32.87,2372.9,2.05,33.28,2430.19,-0.24,32.94,2532.16,-0.01,32.57,2382.04,-9.36,34.45,898.37,-30.37,32.41,1103.55,0.03,33.36,2330.6,0.2,32.98,2390.15,0,-143.31,null,-0.1,31.86,2319.26,21.91,33.31,854.61,-0.88,32.7,870.63,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 0:15,null,14.38,36.77,33.84,878.26,21.47,32.91,922.25,11.47,32.84,828.84,20.32,32.88,12732.3,4.07,31.7,889.13,-2.22,31.93,844.58,-0.08,32.2,874.6,2.38,32.45,871.88,-8.4,32.17,873.78,-7.63,32.31,865.62,-0.19,32.7,2373.1,2.06,33.09,2430.38,-0.23,32.79,2532.25,0,32.38,2382.14,-8.69,34.27,898.48,-25.64,32.31,1243.81,0.03,33.25,2330.58,0.2,33,2390.16,0,-142.84,null,-0.1,31.58,2319.27,22.45,33.12,854.66,-0.44,32.56,870.71,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 0:30,null,14.38,35.93,33.61,878.16,20.97,32.59,922.22,11.66,32.73,828.88,20.62,32.83,12732.3,4.23,31.55,889.14,-2.69,31.65,844.57,0.17,31.94,874.62,1.11,32.33,871.95,-8,32,873.84,-7.35,32.19,865.67,-0.19,32.62,2373.2,2.06,32.99,2430.43,-0.23,32.62,2532.3,0,32.03,2382.27,-8.55,34.14,898.5,-24.92,32.15,1219.64,0.03,33.09,2330.6,0.2,32.88,2390.24,0,-142.91,null,-0.1,31.37,2319.2,23.27,32.93,854.76,0.22,32.39,870.81,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 0:45,null,14.38,35.72,33.52,878.13,20.88,32.7,922.22,12.47,32.45,829.06,20.75,32.72,12732.3,4.17,31.54,889.13,-2.74,31.79,831.29,1.61,31.76,874.82,1.65,32.13,871.97,-7.33,31.9,873.93,-7.08,31.98,865.75,-0.19,32.58,2373.18,2.07,32.9,2430.57,-0.22,32.45,2532.52,0.01,31.61,2382.42,-8.37,34.06,898.54,-24.13,32.09,1179.59,0.03,33.06,2330.58,0.2,32.76,2390.27,0,-143.14,null,-0.1,31.32,2319.06,23.26,32.91,854.77,0.84,32.27,870.85,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 1:00,null,14.38,35.73,33.55,878.14,21.04,32.8,922.22,12.82,32.43,829.13,23.2,32.68,12732.3,3.86,31.43,889.12,-0.24,31.62,831.27,0.83,31.79,874.75,1.8,32.04,871.98,-6.9,31.72,874,-7.04,31.86,865.76,-0.17,32.4,2373.74,2.09,32.83,2431.13,-0.21,32.36,2532.88,0,31.64,2382.1,-7.92,33.88,898.62,-23.72,31.8,1094.29,0.03,32.82,2330.64,0.2,32.62,2390.3,0,-142.68,null,-0.11,31.11,2318.97,24.18,32.75,854.85,0.58,32.15,870.86,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 1:15,null,14.37,35.12,33.48,878.06,20.28,32.35,922.17,12.75,32.38,829.11,23.76,32.57,12732.3,4.49,31.28,889.17,2.22,31.56,834.63,0.87,31.7,874.76,1.65,31.98,871.97,-7.17,31.66,873.96,-7.19,31.87,865.7,-0.17,32.32,2373.84,2.09,32.72,2431.15,-0.21,32.28,2532.89,-0.01,31.64,2382.06,-7.98,33.78,898.59,-23.02,31.69,1102.06,0.03,32.81,2330.54,0.2,32.66,2390.24,0,-142.57,null,-0.11,31.03,2318.89,24.67,32.72,854.93,0.56,32.16,870.82,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 1:30,null,14.38,35.48,33.5,878.11,20.42,32.46,922.18,12.61,32.3,829.09,22.22,32.54,12732.3,4.26,31.29,889.15,3.54,31.42,831.29,0.79,31.57,874.75,1.34,31.94,871.94,-7.41,31.61,873.92,-7.35,31.78,865.65,-0.17,32.16,2373.85,2.09,32.62,2431.28,-0.21,32.17,2532.93,0,31.54,2382.08,-8.07,33.73,898.56,-22.19,31.71,1207.94,0.02,32.74,2330.52,0.2,32.59,2390.25,0,-142.41,null,-0.11,30.89,2318.82,26.32,32.46,855.13,1.13,32.02,870.87,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 1:45,null,14.37,35.97,33.66,878.16,20.99,32.64,922.22,12.96,32.19,829.22,22.84,32.45,12732.3,4.16,31.29,889.12,5.07,31.55,831.23,0.52,31.48,874.72,1.3,31.92,871.94,-7.33,31.52,873.93,-7.52,31.82,865.65,-0.16,32.03,2373.97,2.1,32.38,2431.38,-0.21,32.11,2532.94,-0.01,31.68,2382.07,-8.51,33.69,898.54,-26.75,31.6,1168.6,0.02,32.8,2330.51,0.2,32.58,2390.25,0,-142.34,null,-0.12,30.77,2318.71,26.65,32.35,855.18,1.17,31.97,870.85,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 2:00,null,14.38,35.84,33.66,878.15,20.61,32.55,922.19,13.05,32.13,829.16,26.22,32.38,12732.3,3.97,31.23,889.12,6.22,31.45,831.27,0.48,31.53,874.71,1.26,31.83,871.95,-7.4,31.5,873.93,-7.49,31.65,865.64,-0.16,32.03,2373.99,2.1,32.4,2431.34,-0.2,32.1,2532.94,-0.01,31.46,2382.01,-8.89,33.74,898.5,-22.13,31.65,1288.53,0.02,32.73,2330.38,0.2,32.66,2390.13,0,-142.36,null,-0.12,30.79,2318.61,26.45,32.43,855.2,0.93,32.05,870.88,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
6/1/2023 2:15,null,14.38,35.52,33.58,878.11,20.54,32.47,922.19,13.05,32.05,829.13,27.37,32.34,12732.3,5.09,31.03,889.27,30.25,31.4,831.4,0.65,31.42,874.73,1.9,31.75,871.99,-6.7,31.42,874.04,-6.53,31.54,865.87,-0.14,31.86,2374.38,2.12,32.44,2431.87,-0.18,32.06,2533.48,-0.02,31.39,2381.78,-8.88,33.76,898.46,-21.61,31.67,1275.44,0.02,32.83,2330.37,0.2,32.63,2390.16,0,-142.38,null,-0.12,30.81,2318.53,26.56,32.49,855.18,1.17,31.97,870.88,204.1,-204.1,188,-188,306,-306,408.2,-408.2,282,-282,376,-376,164,-164,282,-246,-327.9,327.9,204.1,-204.1,306,-306,408.2,-408.2,5,7.5,10,-5,-7.5,-10,15,22.5,30,-15,-22.5,-30,15,22.5,30,-15,-22.5,-30,0,0.5,-0.5,0.75,-0.75,1,-1
